0.00,1.00,0.00,0.00,24.00,40.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,28.00,48.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,36.00,61.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,40.00,67.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,44.00,72.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,48.00,76.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,56.00,84.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,60.00,88.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,64.00,91.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,68.00,94.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,72.00,97.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,80.00,103.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,88.00,108.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,92.00,110.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,96.00,112.00,1.00,0.00,20.00,0.00,
0.00,1.00,0.00,0.00,100.00,114.00,1.00,1.00,30.00,0.00,
0.00,1.00,0.00,0.00,104.00,116.00,1.00,1.00,40.00,0.00,
0.00,1.00,0.00,0.00,112.00,120.00,1.00,1.00,60.00,0.00,
0.00,1.00,0.00,0.00,116.00,122.00,1.00,1.00,70.00,0.00,
0.00,1.00,0.00,0.00,120.00,123.00,1.00,1.00,80.00,0.00,
0.00,1.00,0.00,0.00,128.00,127.00,1.00,1.00,100.00,0.00,
0.00,1.00,0.00,0.00,132.00,128.00,1.00,1.00,110.00,0.00,
0.00,1.00,0.00,0.00,136.00,130.00,1.00,1.00,120.00,0.00,
0.00,1.00,0.00,0.00,140.00,131.00,1.00,1.00,130.00,0.00,
0.00,1.00,0.00,0.00,144.00,133.00,1.00,1.00,140.00,0.00,
0.00,1.00,0.00,0.00,148.00,134.00,1.00,1.00,150.00,0.00,
0.00,1.00,0.00,0.00,152.00,135.00,1.00,1.00,160.00,0.00,
0.00,1.00,0.00,0.00,156.00,137.00,1.00,1.00,170.00,0.00,
0.00,1.00,0.00,0.00,164.00,139.00,1.00,1.00,190.00,0.00,
0.00,1.00,0.00,0.00,168.00,140.00,1.00,1.00,200.00,0.00,
0.00,1.00,0.00,0.00,172.00,142.00,1.00,1.00,210.00,0.00,
0.00,1.00,0.00,0.00,176.00,143.00,1.00,1.00,220.00,0.00,
0.00,1.00,0.00,0.00,184.00,145.00,1.00,1.00,240.00,0.00,
0.00,1.00,0.00,0.00,192.00,147.00,1.00,1.00,260.00,0.00,
0.00,1.00,0.00,0.00,196.00,148.00,1.00,1.00,270.00,0.00,
0.00,1.00,0.00,0.00,204.00,150.00,1.00,1.00,290.00,0.00,
0.00,1.00,0.00,0.00,212.00,152.00,1.00,1.00,310.00,0.00,
0.00,1.00,0.00,0.00,216.00,153.00,1.00,1.00,320.00,0.00,
0.00,1.00,0.00,0.00,224.00,155.00,1.00,1.00,340.00,0.00,
0.00,1.00,0.00,0.00,228.00,156.00,1.00,1.00,350.00,0.00,
0.00,1.00,0.00,0.00,232.00,157.00,1.00,1.00,360.00,0.00,
0.00,1.00,0.00,0.00,236.00,158.00,1.00,1.00,370.00,0.00,
0.00,1.00,0.00,0.00,240.00,158.00,1.00,1.00,380.00,0.00,
0.00,1.00,0.00,0.00,244.00,159.00,1.00,1.00,390.00,0.00,
0.00,1.00,0.00,0.00,252.00,161.00,1.00,1.00,410.00,0.00,
0.00,1.00,0.00,0.00,260.00,163.00,1.00,1.00,430.00,0.00,
0.00,1.00,0.00,0.00,268.00,164.00,1.00,1.00,450.00,0.00,
0.00,1.00,0.00,0.00,276.00,166.00,1.00,1.00,470.00,0.00,
0.00,1.00,0.00,0.00,280.00,166.00,1.00,1.00,480.00,0.00,
0.00,1.00,0.00,0.00,284.00,167.00,1.00,1.00,490.00,0.00,
0.00,1.00,0.00,0.00,292.00,168.00,1.00,1.00,510.00,0.00,
0.00,1.00,0.00,0.00,296.00,169.00,1.00,1.00,520.00,0.00,
0.00,1.00,0.00,0.00,300.00,170.00,1.00,1.00,530.00,0.00,
0.00,0.00,1.00,0.00,308.00,171.00,1.00,0.00,522.00,1.00,
0.00,0.00,1.00,0.00,316.00,172.00,1.00,0.00,514.00,1.00,
0.00,0.00,1.00,0.00,320.00,173.00,1.00,0.00,510.00,1.00,
0.00,0.00,1.00,0.00,324.00,174.00,1.00,0.00,506.00,1.00,
0.00,0.00,1.00,0.00,328.00,174.00,1.00,0.00,502.00,1.00,
0.00,0.00,1.00,0.00,336.00,175.00,1.00,0.00,494.00,1.00,
0.00,0.00,1.00,0.00,340.00,176.00,1.00,0.00,490.00,1.00,
0.00,0.00,1.00,0.00,348.00,177.00,1.00,0.00,482.00,1.00,
0.00,0.00,1.00,0.00,356.00,178.00,1.00,0.00,474.00,1.00,
0.00,0.00,1.00,0.00,360.00,179.00,1.00,0.00,470.00,1.00,
0.00,0.00,1.00,0.00,364.00,179.00,1.00,0.00,466.00,1.00,
0.00,0.00,1.00,0.00,372.00,181.00,1.00,0.00,458.00,1.00,
0.00,0.00,1.00,0.00,376.00,181.00,1.00,0.00,454.00,1.00,
0.00,0.00,1.00,0.00,380.00,182.00,1.00,0.00,450.00,1.00,
0.00,0.00,1.00,0.00,384.00,182.00,1.00,0.00,446.00,1.00,
0.00,0.00,1.00,0.00,388.00,183.00,1.00,0.00,442.00,1.00,
0.00,0.00,1.00,0.00,392.00,183.00,1.00,0.00,438.00,1.00,
0.00,0.00,1.00,0.00,396.00,184.00,1.00,0.00,434.00,1.00,
0.00,0.00,1.00,0.00,404.00,185.00,1.00,0.00,426.00,1.00,
